# CALLSIGN,ORIGIN,DESTINATION
# Example: EZY123,BRS,AMS

EZY96WT,MAN,BIO
RYR1AN,DUB,BVA
BAW14K,JFK,LHR
EXS3DQ,LBA,TFS
EIN151,LHR,DUB
RYR52LA,MAN,MAD
ACA856,YYZ,LHR
KLM741,CTG,AMS
UAL907,ORD,FRA
JBU2220,LHR,JFK
BAW2158,GND,UVF
RYR60PP,EDI,EGC
SAS7365,BGO,LPA
RYR1HK,BGY,LIS
RYR2927,MAD,TFS
CFG117,CUN,FRA
EAI84LP,BRS,BRS
RYR551L,SNN,TRN
VIR133V,LHR,ANU
BAW21ML,DEN,LHR
UAL123,LHR,IAD
KLM758,PTY,AMS
EIN71K,ORK,LHR
RYR81WX,ORK,STN
CFG117,CUN,FRA
UAL123,LHR,IAD
EIN38A,SNN,LHR
KLM787,CUR,AMS
RYR62NR,MME,AGP
KLM195,AMS,PBM
DLH457,LAX,FRA
UPS204,CGN,PHL
CLX95U,HSV,LUX
AAL204,PHL,AMS
EXS62B,LPA,LPL
RYR72NH,MAN,ALC
EZY5909,IOM,VRN
FDX25,LGG,MEM
BAW29C,IAD,LHR
BAW17R,LHR,JFK
EXS3873,LTN,TFS
RYR2PB,NCL,PFO
RUK24WD,MAN,RAK
DAL3,JFK,LHR
RYR180A,EDI,ALC
TOM8EL,GLA,GLA
EZY18UG,EDI,LGW
BAW120,CVG,LHR
EXS47VA,DLM,STN
RYR78TP,BRU,DUB
TOM39G,MAN,MAN
TSC117,CDG,YQB
UAE5RQ,JFK,MXP
VIR22Q,IAD,LHR
RYR48EF,BRS,RZE
TOM830,BHX,BJV
AAL51,LHR,DFW
OCN691,MCO,FRA
UAL46,IAH,FRA
UAE68K,AMS,DWC
BAW828Y,LHR,DUB
AAL104,JFK,LHR
EXS25EP,MLA,BRS
SIA23,JFK,SIN
DAL83,CDG,ATL
UAL940,EWR,LHR
EZY838,BFS,LGW
BAW8DS,LAX,LHR
DAL33,LHR,ATL
TOM43K,MAN,MAN
RYR42HH,BUD,BGY
RYR46UE,BGY,DUB
UAL56,CDG,EWR
EXS2B,LBA,TFS
UAL932,IAD,FRA
TOW2233,SID,MPN
RYR701,STN,KIR
VIR3N,LHR,JFK
BAW19W,AUS,LHR
KLM749,CTG,AMS
UAL5,LHR,IAH
ACA869,LHR,YHZ
EXS52RD,EFL,BHX
AAL80,DFW,LHR
VIR48WE,YYZ,LHR
BOX457,ATL,FRA
RYR4799,PMO,BLQ
KLM69Y,AMS,CWL
EXS78DG,ALC,BRS
EIN15M,LHR,DUB
RYR69WG,DUB,TRN
KLM783,AMS,POS
SXS1UM,ADB,DUB
RYR38PN,DUB,LGW
EIN156,DUB,LHR
BAW825,PRG,LHR
KLM1042,AGP,AMS
EXS89PK,FNC,BHX
VIR198S,BGI,LHR
KLM1077,AMS,BRS
BAW53M,LHR,NAS
RYR9414,TPS,NAP
RUK62HM,BFS,TRN
KLM689,AMS,CUN
ICE8K,KEF,CDG
EZY858C,JER,GLA
UAL905,LHR,EWR
EZY17RM,GVA,BHX
EZY17LQ,LRH,MAN
TAP1310,LIS,MAN
UAL924,IAD,LHR
NSZ1RP,ARN,LPA
EZY109R,STN,BFS
TAP1322,LIS,DUB
EZY57DZ,BRS,FCO
VIR5C,LHR,MIA
AFR49RW,DUB,CDG
NOZ5RT,TOS,LPA
KLM767,BON,AMS
EZY68QA,GVA,BRS
TOM056,LGW,PUJ
ICE12C,KEF,ZRH
ACA808,YYZ,AMS
BAW252N,NAS,LHR
SWR8CD,MAN,ZRH
CFG3756,DUS,LRM
UAL12,HNL,LAX
BAW17PA,LGW,ANU
VIR8Y,LAX,LHR
VIR166G,MBJ,LHR
PGT1157,SAW,DUB
ICE6H,KEF,LGW
BAW18A,JFK,LHR
EXS82JE,GRO,EMA
AAL90,ORD,LHR
